Session ID,TC ID,Test Result
1495334,1465527,Passed
1495334,1466441,Failed
1495334,1466445,Passed
1495334,1466088,Skipped
1495334,1466467,Skipped
1495334,1465267,Skipped
1495334,1466046,Skipped
1495334,1466108,Skipped
1495334,1466190,Skipped
1495334,1466044,Skipped
1495334,1466469,Skipped
1495334,1466138,Skipped
1495334,1465850,Skipped
1495334,1466152,Skipped
1495334,1466011,Skipped
1495334,1466457,Skipped
1495334,1466013,Skipped
1495334,1466459,Skipped
1495334,1465957,Passed
1495334,1465860,Skipped
1495334,1466019,Skipped
1495334,1466082,Skipped
1495334,1465796,Skipped
1495334,1466034,Skipped
1495334,1466461,Skipped
1495334,1466160,Skipped
1495334,1466473,Skipped
1495334,1466134,Skipped
1495334,1466188,Skipped
1495334,1466027,Skipped
1495334,1465810,Skipped
1495334,1466148,Skipped
1495334,1465816,Passed
1495334,1466094,Passed
1495334,1465977,Skipped
1495334,1466198,Skipped
1495334,1465908,Skipped
1495334,1466096,Skipped
1495334,1465844,Passed
1495334,1465925,Skipped
1495334,1465941,Skipped
1495334,1466144,Skipped
1495334,1466150,Skipped
1495334,1465848,Skipped
1495334,1466427,Skipped
1495334,1465724,Skipped
1495334,1465880,Skipped
1495334,1466100,Skipped
1495334,1466178,Skipped
1495334,1466182,Skipped
1495334,1465840,Passed
1495334,1465963,Skipped
1495334,1466050,Skipped
1495334,1466074,Skipped
1495334,1466146,Skipped
1495334,1465836,Passed
1495334,1465834,Passed
1495334,1465937,Skipped
1495334,1465701,Skipped
1495334,1466059,Skipped
1495334,1465716,Skipped
1495334,1466168,Skipped
1495334,1466433,Skipped
1495334,1465935,Passed
1495334,1466431,Skipped
1495334,1466437,Skipped
1495334,1466104,Skipped
1495334,1465792,Skipped
1495334,1465983,Passed
1495334,1465838,Passed
1495334,1466031,Skipped
1495334,1466170,Skipped
1495334,1466128,Skipped
1495334,1466443,Skipped
1495334,1465985,Skipped
1495334,1465943,Passed
1495334,1466080,Skipped
1495334,1465711,Skipped
1495334,1466055,Skipped
1495334,1465961,Passed
1495334,1465955,Passed
1495334,1466172,Skipped
1495334,1466036,Skipped
1495334,1465858,Passed
1495334,1466106,Skipped
1495334,1465886,Skipped
1495334,1465882,Skipped
1495334,1466092,Skipped
1495334,1465798,Skipped
1495334,1466118,Skipped
1495334,1465902,Skipped
1495334,1465709,Skipped
1495334,1466084,Skipped
1495334,1466194,Skipped
1495334,1465933,Skipped
1495334,1465910,Skipped
1495334,1465714,Skipped
1495334,1465808,Skipped
1495334,1465862,Skipped
1495334,1465703,Passed
1495334,1466174,Skipped
1495334,1466158,Skipped
1495334,1466447,Skipped
1495334,1465921,Skipped
1495334,1466003,Skipped
1495334,1465993,Passed
1495334,1466025,Skipped
1495334,1465822,Passed
1495334,1465876,Passed
1495334,1466078,Skipped
1495334,1465794,Skipped
1495334,1465915,Passed
1495334,1466192,Skipped
1495334,1466120,Skipped
1495334,1465945,Skipped
1495334,1465929,Passed
1495334,1466180,Skipped
1495334,1466164,Skipped
1495334,1465912,Skipped
1495334,1465896,Skipped
1495334,1466114,Skipped
1495334,1466429,Skipped
1495334,1465995,Skipped
1495334,1466162,Skipped
1495334,1466005,Skipped
1495334,1466040,Skipped
1495334,1466116,Skipped
1495334,1465718,Skipped
1495334,1465820,Passed
1495334,1466086,Skipped
1495334,1465872,Passed
1495334,1465947,Skipped
1495334,1466184,Skipped
1495334,1466136,Skipped
1495334,1465868,Passed
1495334,1465826,Passed
1495334,1465172,Skipped
1495334,1466451,Skipped
1495334,1465971,Skipped
1495334,1465890,Skipped
1495334,1465953,Passed
1495334,1466048,Skipped
1495334,1465720,Skipped
1495334,1465800,Skipped
1495334,1465969,Skipped
1495334,1465707,Skipped
1495334,1465923,Skipped
1495334,1466154,Skipped
1495334,1466102,Skipped
1495334,1466053,Skipped
1495334,1466132,Skipped
1495334,1466017,Skipped
1495334,1465892,Skipped
1495334,1465812,Skipped
1495334,1465864,Skipped
1495334,1465989,Passed
1495334,1465854,Skipped
1495334,1466015,Skipped
1495334,1466001,Skipped
1495334,1465949,Skipped
1495334,1465866,Passed
